"div_stock_code","div_year","div_status","dividend_y_%","div_dividend(RM)","annual_eps","annual_dp(%)"
"0122","2018","N",0,0,-0.009,0
"0122","2019","N",0,0,-0.017,0
"0122","2020","N",0,0,-0.016,0
"0122","2021","N",0,0,-0.02,0
"0122","2022","N",0,0,-0.01,0
"0123","2018","N",0,0,-0.007,0
"0123","2019","N",0,0,-0.009,0
"0123","2020","N",0,0,-0.01,0
"0123","2021","N",0,0,-0.003,0
"0123","2022","N",0,0,-0.004,0
"0126","2020","Y",2.358,0.01,0.062,0.16
"0126","2021","Y",2.016,0.01,0.146,0
"0127","2018","Y",1.953,0.02,0.067,0.3
"0127","2019","Y",1.915,0.02,0.055,0.37
"0127","2020","Y",0.548,0.01,0.038,0.26
"0128","2018","Y",2.642,0.015,0.05,0.3
"0128","2019","Y",2.696,0.025,0.066,0.38
"0128","2020","Y",1.389,0.04,0.078,0.51
"0128","2021","Y",1.317,0.04,0.074,0.54
"0128","2022","Y",0.559,0.016,0.06,0.27
"0129","2018","N",0,0,0.015,0
"0129","2019","N",0,0,-0.024,0
"0129","2020","N",0,0,-0.014,0
"0129","2021","N",0,0,-0.018,0
"0129","2022","N",0,0,-0.013,0
"0131","2020","Y",4.706,0.004,-0.008,-0.53
"0132","2018","N",0,0,-0.005,0
"0132","2019","N",0,0,-0.013,0
"0132","2020","N",0,0,-0.022,0
"0132","2021","N",0,0,-0.006,0
"0132","2022","N",0,0,-0.011,0
"0133","2018","N",0,0,-0.024,0
"0133","2019","N",0,0,-0.021,0
"0133","2020","N",0,0,-0.007,0
"0133","2021","N",0,0,-0.132,0
"0133","2022","N",0,0,-0.014,0
"0136","2019","Y",1.562,0.002,0.013,0.2
"0136","2021","Y",1.176,0.003,0.016,0
"0138","2018","Y",2.522,0.019,0.036,-1.16
"0138","2019","Y",3.576,0.025,0.088,0.64
"0138","2020","Y",2.914,0.022,0.077,0.29
"0138","2021","Y",1.561,0.0128,0.064,0.2
"0138","2022","Y",0.298,0.0025,0.042,0.06
"0140","2018","N",0,0,-0.001,0
"0140","2019","N",0,0,-0.006,0
"0140","2020","N",0,0,-0.023,0
"0140","2021","N",0,0,-0.014,0
"0140","2022","N",0,0,-0.005,0
"0143","2018","N",0,0,0.004,0
"0143","2019","N",0,0,-0.002,0
"0143","2020","N",0,0,-0.018,0
"0143","2021","N",0,0,-0.007,0
"0143","2022","N",0,0,-0.007,0
"0145","2018","N",0,0,-0.01,0
"0145","2019","N",0,0,-0.017,0
"0145","2020","N",0,0,-0.015,0
"0145","2021","N",0,0,-0.009,0
"0145","2022","N",0,0,-0.01,0
"0146","2019","Y",1.553,0.005,0.016,0.31
"0146","2020","Y",1.911,0.015,0.038,0.39
"0146","2021","Y",0.717,0.01,0.044,0.23
"0146","2022","Y",1.221,0.01,0.019,0.53
"0147","2018","N",0,0,0.01,0
"0147","2019","N",0,0,0.009,0
"0147","2020","N",0,0,-0.002,0
"0147","2021","N",0,0,0.024,0
"0147","2022","N",0,0,-0.003,0
"0148","2018","N",0,0,-0.014,0
"0148","2019","N",0,0,-0.036,0
"0148","2020","N",0,0,-0.025,0
"0148","2021","N",0,0,0.001,0
"0148","2022","N",0,0,0.004,0
"0149","2018","Y",1.494,0.0075,0.03,0
"0149","2019","Y",1.973,0.0072,0.029,0
"0149","2020","Y",1.895,0.0054,0.022,0
"0149","2021","Y",1.213,0.0045,0.018,0
"0149","2022","Y",2.329,0.0085,0.035,0
"0150","2018","N",0,0,0.117,0
"0150","2019","N",0,0,-0.071,0
"0150","2020","N",0,0,0.378,0
"0150","2021","N",0,0,-0.3960000000000001,0
"0150","2022","N",0,0,-0.014,0
"0151","2018","Y",3.395,0.018,0.074,0.34
"0151","2019","Y",3.691,0.02,0.08,0.23
"0151","2020","Y",1.881,0.015,0.054,0.09
"0151","2021","Y",1.224,0.015,0.07,0.22
"0151","2022","Y",0.806,0.01,0.058,0.17
"0152","2018","N",0,0,-0.011,0
"0152","2019","N",0,0,-0.016,0
"0152","2020","N",0,0,-0.013,0
"0152","2021","N",0,0,-0.026,0
"0152","2022","N",0,0,-0.014,0
"0153","2018","N",0,0,-0.02,0
"0153","2019","N",0,0,-0.018,0
"0153","2020","N",0,0,-0.022,0
"0153","2021","N",0,0,-0.016,0
"0153","2022","N",0,0,-0.007,0
"0154","2018","N",0,0,-0.002,0
"0154","2019","N",0,0,-0.009,0
"0154","2020","N",0,0,-0.01,0
"0154","2021","N",0,0,-0.003,0
"0154","2022","N",0,0,0,0
"0155","2019","Y",110,0.22,-0.037,0
"0156","2018","N",0,0,-0.012,0
"0156","2019","N",0,0,-0.007,0
"0156","2020","N",0,0,-0.051,0
"0156","2021","N",0,0,0.002,0
"0156","2022","N",0,0,-0.008,0
"0157","2018","Y",9.434,0.01,0.043,0.23
"0157","2019","Y",12.178,0.025,0.056,0.44
"0157","2020","Y",5.127000000000001,0.02,0.051,0.39
"0157","2021","Y",2.874,0.02,0.043,0.47
"0157","2022","Y",3.692,0.03,0.077,0.39
"0158","2018","Y",7.852,0.034,0.05,0.68
"0158","2019","Y",7.198,0.034,0.038,0.9
"0158","2021","Y",2.857,0.01,0.012,0.85
"0159","2018","N",0,0,-0.013,0
"0159","2019","N",0,0,-0.013,0
"0159","2020","N",0,0,0,0
"0159","2021","N",0,0,-0.005,0
"0159","2022","N",0,0,0.023,0
"0160","2018","N",0,0,0.006,0
"0160","2019","N",0,0,0.006,0
"0160","2020","N",0,0,-0.004,0
"0160","2021","N",0,0,0.01,0
"0160","2022","N",0,0,0.019,0
"0161","2018","N",0,0,-0.017,0
"0161","2019","N",0,0,0.011,0
"0161","2020","N",0,0,-0.014,0
"0161","2021","N",0,0,0.007,0
"0161","2022","N",0,0,0.013,0
"0162","2018","N",0,0,0.012,0
"0162","2019","N",0,0,0.005,0
"0162","2020","N",0,0,0.002,0
"0162","2021","N",0,0,0.026,0
"0162","2022","N",0,0,0.005,0
"0163","2020","Y",1.552,0.025,0.228,0.11
"0163","2021","Y",2.0540000000000003,0.04,0.411,0.1
"0165","2018","N",0,0,-0.007,0
"0165","2019","N",0,0,-0.02,0
"0165","2020","N",0,0,-0.041,0
"0165","2021","N",0,0,-0.012,0
"0165","2022","N",0,0,-0.022,0
"0166","2018","Y",4.413,0.084,0.112,0.75
"0166","2019","Y",3.585,0.052,0.06,0.86
"0166","2020","Y",2.966,0.044,0.048,0.91
"0166","2021","Y",3.78,0.11,0.1,1.1
"0166","2022","Y",3.331,0.1,0.107,0.94
"0167","2018","N",0,0,-0.024,0
"0167","2019","N",0,0,-0.014,0
"0167","2020","N",0,0,0.011,0
"0167","2021","N",0,0,-0.042,0
"0167","2022","N",0,0,-0.018,0
"0168","2018","Y",2.756,0.0175,0.04,0.44
"0168","2019","Y",3.425,0.02,0.052,0.39
"0168","2020","Y",2.981,0.0175,0.045,0.39
"0168","2021","Y",1.659,0.0175,0.043,0.4
"0168","2022","Y",2.349,0.0175,0.033,0.53
"0169","2018","N",0,0,-0.039,0
"0169","2019","N",0,0,-0.012,0
"0169","2020","N",0,0,0.001,0
"0169","2021","N",0,0,-0.022,0
"0169","2022","N",0,0,-0.005,0
"0170","2018","N",0,0,-0.002,0
"0170","2019","N",0,0,0.007,0
"0170","2020","N",0,0,-0.007,0
"0170","2021","N",0,0,-0.025,0
"0170","2022","N",0,0,-0.102,0
"0171","2020","Y",4.484,0.01,0.017,0.58
"0171","2022","Y",3,0.006,0.011,0
"0172","2021","Y",1.25,0.005,0.025,0.2
"0173","2018","N",0,0,-0.004,0
"0173","2019","N",0,0,-0.01,0
"0173","2020","N",0,0,-0.018,0
"0173","2021","N",0,0,-0.012,0
"0173","2022","N",0,0,-0.006,0
"0174","2018","N",0,0,-0.032,0
"0174","2019","N",0,0,-0.032,0
"0174","2020","N",0,0,-0.01,0
"0174","2021","N",0,0,0,0
"0174","2022","N",0,0,0.002,0
"0175","2018","N",0,0,-0.011,0
"0175","2019","N",0,0,-0.019,0
"0175","2020","N",0,0,-0.646,0
"0175","2021","N",0,0,-0.425,0
"0175","2022","N",0,0,0.104,0
"0176","2018","Y",3.774,0.02,0.047,0
"0177","2018","N",0,0,-0.01,0
"0177","2019","N",0,0,-0.013,0
"0177","2020","N",0,0,-0.045,0
"0177","2021","N",0,0,-0.028,0
"0177","2022","N",0,0,-0.01,0
"0178","2018","N",0,0,-0.019,0
"0178","2019","N",0,0,0.01,0
"0178","2020","N",0,0,-0.043,0
"0178","2021","N",0,0,0.027,0
"0178","2022","N",0,0,0.003,0
"0179","2018","Y",0.415,0.0011,0.015,0.07
"0180","2018","N",0,0,-0.016,0
"0180","2019","N",0,0,0.023,0
"0180","2020","N",0,0,0.008,0
"0180","2021","N",0,0,0.011,0
"0180","2022","N",0,0,0.03,0
"0181","2018","Y",0.727,0.002,0.011,0.18
"0182","2018","N",0,0,-0.002,0
"0182","2019","N",0,0,-0.006,0
"0182","2020","N",0,0,0.01,0
"0182","2021","N",0,0,-0.08,0
"0182","2022","N",0,0,0.001,0
"0183","2018","Y",2.994,0.024,0.029,0.82
"0183","2019","Y",6.133,0.024,-0.001,-17.14
"0183","2020","Y",3.092,0.018,-0.021,-0.86
"0185","2018","N",0,0,-0.219,0
"0185","2019","N",0,0,0.002,0
"0185","2020","N",0,0,0.021,0
"0185","2021","N",0,0,0.006,0
"0185","2022","N",0,0,0.023,0
"0186","2018","Y",1.4369999999999998,0.0095,0.027,0.35
"0186","2019","Y",1.586,0.01,0.028,0.36
"0186","2020","Y",1.532,0.01,0.026,0.38
"0186","2021","Y",5.145,0.0322,0.084,0.39
"0186","2022","Y",2.997,0.0305,0.066,0.35
"0187","2018","Y",1.143,0.002,0.02,0
"0187","2019","Y",0.286,0.001,0.012,0
"0188","2018","N",0,0,-0.068,0
"0188","2019","N",0,0,0.009,0
"0188","2020","N",0,0,0.03,0
"0188","2021","N",0,0,0.012,0
"0188","2022","N",0,0,-0.024,0
"0189","2018","Y",3.077,0.002,0.002,0.87
"0189","2019","Y",2,0.0015,0.001,1.67
"0189","2020","Y",1.852,0.0015,0.001,1.88
"0189","2021","Y",2.151,0.002,0.002,0.91
"0189","2022","Y",2.316,0.0022,0.003,0.85
"0190","2018","Y",8.072,0.018,0.004,10
"0190","2020","Y",3.509,0.01,0.014,0.7
"0190","2022","Y",3.556,0.008,-0.009,-0.92
"0191","2018","Y",3.077,0.008,0.033,0
"0192","2018","Y",2.953,0.0075,0.04,0.19
"0192","2019","Y",5.071,0.01,0.042,0.24
"0192","2020","Y",2.981,0.0085,0.015,0.57
"0192","2021","Y",3.862,0.01,0.022,0.45
