,stock_name,stock_code
491,M N C WIRELESS BERHAD,0103.KL
492,MAA GROUP BERHAD,1198.KL
493,MAG HOLDINGS BERHAD,0095.KL
494,MAGNA PRIMA BERHAD,7617.KL
495,MAGNI-TECH INDUSTRIES BERHAD,7087.KL
496,MAGNUM BERHAD,3859.KL
497,MAH SING GROUP BERHAD,8583.KL
498,MAJUPERAK HOLDINGS BERHAD,8141.KL
499,MALAKOFF CORPORATION BERHAD,5264.KL
500,MALAYAN BANKING BERHAD,1155.KL
501,MALAYAN CEMENT BERHAD,3794.KL
502,MALAYAN FLOUR MILLS BERHAD,3662.KL
503,MALAYAN UNITED INDUSTRIES BERHAD,3891.KL
504,MALAYSIA AIRPORTS HOLDINGS BERHAD,5014.KL
505,MALAYSIA BUILDING SOCIETY BERHAD,1171.KL
506,MALAYSIA MARINE AND HEAVY ENGINEERING HOLDINGS BERHAD,5186.KL
507,MALAYSIA SMELTING CORPORATION BERHAD,5916.KL
508,MALAYSIA STEEL WORKS (KL) BHD,5098.KL
509,MALAYSIAN BULK CARRIERS BERHAD,5077.KL
510,MALAYSIAN GENOMICS RESOURCE CENTRE BERHAD,0155.KL
511,MALAYSIAN PACIFIC INDUSTRIES BERHAD,3867.KL
512,MALAYSIAN RESOURCES CORPORATION BERHAD,1651.KL
513,MALPAC HOLDINGS BERHAD,4936.KL
514,MALTON BERHAD,6181.KL
515,MANAGEPAY SYSTEMS BERHAD,0156.KL
516,MANFORCE GROUP BERHAD,03015.KL
517,MANULIFE HOLDINGS BERHAD,1058.KL
518,MARCO HOLDINGS BERHAD,3514.KL
519,MARINE & GENERAL BERHAD,5078.KL
520,MASTER-PACK GROUP BERHAD,7029.KL
521,MATANG BERHAD,0189.KL
522,MATRIX CONCEPTS HOLDINGS BERHAD,5236.KL
523,MATRIX PARKING SOLUTION HOLDINGS BERHAD,03019.KL
524,MAXIM GLOBAL BERHAD,4022.KL
525,MAXIS BERHAD,6012.KL
526,MBM RESOURCES BHD,5983.KL
527,MCE HOLDINGS BERHAD,7004.KL
528,MCLEAN TECHNOLOGIES BERHAD,0167.KL
529,MCOM HOLDINGS BERHAD,03022.KL
530,MCT BERHAD,5182.KL
