,div_stock_code,div_year,div_status,dividend_y_%,div_dividend(RM)
624,0192,2021,Y,3.862,0.01
625,0192,2022,Y,2.083,0.005
626,0193,2018,Y,17.863,0.01
627,0193,2019,Y,17.68,0.01
628,0193,2020,Y,0.653,0.0025
629,0195,2018,Y,2.124,0.01
630,0196,2019,Y,1.681,0.004
631,0196,2021,Y,0.816,0.004
632,0197,2018,Y,1.656,0.005
633,0197,2019,Y,2.049,0.005
634,0197,2022,Y,2.381,0.005
635,0198,2018,Y,11.186,0.02
636,0198,2019,Y,8.152000000000001,0.02
637,0198,2020,Y,4.146,0.02
638,0198,2021,Y,3.253,0.014
639,0199,2018,Y,3.106,0.01
640,0199,2019,Y,1.488,0.005
641,0199,2020,Y,1.968,0.01
642,0199,2021,Y,1.763,0.01
643,0199,2022,Y,1.829,0.0075
644,0200,2018,N,0.0,0.0
645,0200,2019,N,0.0,0.0
646,0200,2020,N,0.0,0.0
647,0200,2021,N,0.0,0.0
648,0200,2022,N,0.0,0.0
649,0201,2018,Y,5.07,0.018
650,0201,2019,Y,2.294,0.011
651,0201,2020,Y,2.206,0.0143
652,0201,2021,Y,3.381,0.03
653,0201,2022,Y,3.8419999999999996,0.0325
654,0202,2019,Y,0.302,0.001
655,0202,2022,Y,1.149,0.005
656,0203,2018,N,0.0,0.0
657,0203,2019,N,0.0,0.0
658,0203,2020,N,0.0,0.0
659,0203,2021,N,0.0,0.0
660,0203,2022,N,0.0,0.0
661,0205,2019,Y,3.738,0.004
662,0205,2020,Y,3.6470000000000002,0.004
663,0205,2021,Y,4.48,0.01
664,0205,2022,Y,1.163,0.004
665,0206,2019,Y,4.157,0.01
666,0206,2020,Y,1.613,0.005
667,0207,2019,Y,1.681,0.002
668,0207,2020,Y,0.718,0.0015
669,0207,2021,Y,0.4,0.0013
670,0208,2018,N,0.0,0.0
671,0208,2019,N,0.0,0.0
672,0208,2020,N,0.0,0.0
673,0208,2021,N,0.0,0.0
674,0208,2022,N,0.0,0.0
675,0209,2019,Y,0.673,0.0015
676,0209,2020,Y,1.042,0.0025
677,0210,2019,Y,7.301,0.015
678,0210,2020,Y,4.184,0.01
679,0210,2021,Y,4.545,0.01
680,0211,2020,Y,1.071,0.005
681,0211,2021,Y,10.579,0.05
682,0212,2022,Y,2.0229999999999997,0.0075
683,0213,2020,Y,6.329000000000001,0.03
684,0213,2021,Y,4.612,0.03
685,0213,2022,Y,6.148000000000001,0.03
686,0215,2021,Y,0.765,0.01
687,0216,2019,Y,1.992,0.005
688,0216,2020,Y,1.429,0.004
689,0217,2018,N,0.0,0.0
690,0217,2019,N,0.0,0.0
691,0217,2020,N,0.0,0.0
692,0217,2021,N,0.0,0.0
693,0217,2022,N,0.0,0.0
694,0218,2021,Y,0.817,0.003
695,0219,2020,Y,1.515,0.0075
696,0219,2021,Y,0.926,0.005
697,0220,2018,N,0.0,0.0
698,0220,2019,N,0.0,0.0
699,0220,2020,N,0.0,0.0
700,0220,2021,N,0.0,0.0
701,0220,2022,N,0.0,0.0
702,0221,2020,Y,4.055,0.02
703,0222,2021,Y,6.401,0.038
704,0222,2022,Y,1.509,0.012
705,0223,2018,N,0.0,0.0
706,0223,2019,N,0.0,0.0
707,0223,2020,N,0.0,0.0
